step,processed_characters,loss,val_bpc,gpu_reference_bpc,delta_to_gpu,elapsed_s
5000,20480000,1.3227486610412598,1.7142184983487518,1.8638,-0.14958150165124806,2659.3434500099997
10000,40960000,1.163610816001892,1.6190070432686887,1.6918,-0.07279295673131125,5313.3155712259995
15000,61440000,1.1352862119674683,1.55975932101609,,,7967.817422117
20000,81920000,1.2639243602752686,1.528392453344501,,,10621.800321293002
25000,102400000,1.0572679042816162,1.5084740354097643,,,13276.881203229
30000,122880000,1.0391695499420166,1.4841348195579724,,,15931.696246102001
32959,135000064,0.9922402501106262,1.471374346424435,,,17506.086434437002
35000,143360000,0.941605806350708,1.46200249045651,,,18600.585552306005
40000,163840000,1.0050170421600342,1.4436704619911633,,,21254.438784218004
45000,184320000,1.0500400066375732,1.4287698958693251,,,23908.637348720004
50000,204800000,1.0978312492370605,1.4069020223403115,,,26562.739284463
55000,225280000,0.9188889265060425,1.392627575182313,,,29217.022397315006
60000,245760000,1.0338431596755981,1.3781885460018966,,,31870.083336871005
65000,266240000,1.0290230512619019,1.3679806286235492,,,34523.15478185301
65918,270000128,0.8856576681137085,1.3705963127605216,,,35017.268294633
70000,286720000,1.076973795890808,1.355634429449193,,,37191.31270046801
75000,307200000,0.8366297483444214,1.3508499742168887,,,39845.268986899006
80000,327680000,0.8833569884300232,1.3406060264731856,,,42499.586121489
85000,348160000,0.879787027835846,1.3288177282693128,,,45153.971126866
90000,368640000,0.6883817315101624,1.3284488201087543,,,47808.603787429005
95000,389120000,0.8670879602432251,1.3256843279831227,,,50463.035770581
100000,409600000,0.8954623937606812,1.3210925739366524,,,53117.21849093601
105000,430080000,0.8298169374465942,1.3190611578603235,,,55771.372002464006
110000,450560000,0.9187893271446228,1.321745102986315,,,58425.028401300005
115000,471040000,0.9085335731506348,1.3197614604657213,,,61078.74846955
120000,491520000,0.9402027130126953,1.320269228493478,,,63733.291525704
122071,500002816,0.7718037366867065,1.3206942943640012,,,64838.022194673
